bank_txn_id,posted_at,description,credit,debit,currency,reference
BANK_PROD_00022,2026-09-03T18:16:00,RAZORPAY SETTLEMENT SET_PROD_0021 UTR0000000022,73841.57,0.00,INR,SET_PROD_0021
BANK_PROD_00023,2026-08-31T19:02:00,RAZORPAY SETTLEMENT SET_PROD_0022 UTR0000000023,6522.32,0.00,INR,SET_PROD_0022
BANK_PROD_00024,2026-09-01T21:05:00,RAZORPAY SETTLEMENT SET_PROD_0023 UTR0000000024,47904.02,0.00,INR,SET_PROD_0023
BANK_PROD_00025,2026-09-02T08:41:00,RAZORPAY SETTLEMENT SET_PROD_0024 UTR0000000025,59158.48,0.00,INR,SET_PROD_0024
BANK_PROD_00026,2026-09-01T20:48:00,RAZORPAY SETTLEMENT SET_PROD_0025 UTR0000000026,90248.52,0.00,INR,SET_PROD_0025
BANK_PROD_00027,2026-09-01T20:30:00,RAZORPAY SETTLEMENT SET_PROD_0026 UTR0000000027,91634.73,0.00,INR,SET_PROD_0026
BANK_PROD_00028,2026-09-02T00:46:00,RZP/SET_PROD_0027/SETTLEMENT,84727.65,0.00,INR,
BANK_PROD_00029,2026-09-01T22:45:00,RAZORPAY SETTLEMENT SET_PROD_0028 UTR0000000029,67503.40,0.00,INR,SET_PROD_0028
BANK_PROD_00030,2026-09-04T21:10:00,RAZORPAY SETTLEMENT SET_PROD_0029 UTR0000000030,39754.85,0.00,INR,SET_PROD_0029
BANK_PROD_00031,2026-09-01T21:21:00,RZP/SET_PROD_0030/SETTLEMENT,51515.43,0.00,INR,
BANK_PROD_00032,2026-09-02T08:11:00,RZP/SET_PROD_0031/SETTLEMENT,39039.45,0.00,INR,
BANK_PROD_00033,2026-09-01T22:19:00,RZP/SET_PROD_0032/SETTLEMENT,12343.11,0.00,INR,
BANK_PROD_00034,2026-09-02T06:30:00,RAZORPAY SETTLEMENT SET_PROD_0033 UTR0000000034,45927.05,0.00,INR,SET_PROD_0033
BANK_PROD_00035,2026-09-01T16:31:00,RAZORPAY SETTLEMENT SET_PROD_0034 UTR0000000035,127319.74,0.00,INR,SET_PROD_0034
BANK_PROD_00036,2026-09-01T22:18:00,RAZORPAY SETTLEMENT SET_PROD_0035 UTR0000000036,81357.77,0.00,INR,SET_PROD_0035
BANK_PROD_00037,2026-09-02T07:32:00,RAZORPAY SETTLEMENT SET_PROD_0036 UTR0000000037,30200.28,0.00,INR,SET_PROD_0036
BANK_PROD_00038,2026-09-01T19:20:00,PAYMENT AGGREGATOR CREDIT UTR0000000038,24222.96,0.00,INR,
BANK_PROD_00039,2026-09-02T00:26:00,RAZORPAY SETTLEMENT SET_PROD_0038 UTR0000000039,37595.57,0.00,INR,SET_PROD_0038
BANK_PROD_00040,2026-09-02T02:18:00,RAZORPAY SETTLEMENT SET_PROD_0039 UTR0000000040,26434.44,0.00,INR,SET_PROD_0039
BANK_PROD_00041,2026-09-02T05:28:00,RAZORPAY SETTLEMENT SET_PROD_0040 UTR0000000041,48097.21,0.00,INR,SET_PROD_0040
BANK_PROD_00042,2026-09-02T07:40:00,RAZORPAY SETTLEMENT SET_PROD_0041 UTR0000000042,64294.64,0.00,INR,SET_PROD_0041
BANK_PROD_00043,2026-09-02T04:49:00,RZP/SET_PROD_0042/SETTLEMENT,40831.29,0.00,INR,
BANK_PROD_00044,2026-09-01T17:19:00,RAZORPAY SETTLEMENT SET_PROD_0043 UTR0000000044,32862.87,0.00,INR,SET_PROD_0043
BANK_PROD_00045,2026-09-02T05:21:00,RZP/SET_PROD_0044/SETTLEMENT,42924.35,0.00,INR,
BANK_PROD_00046,2026-09-01T16:10:00,RAZORPAY SETTLEMENT SET_PROD_0045 UTR0000000046,93399.86,0.00,INR,SET_PROD_0045
BANK_PROD_00047,2026-09-01T18:33:00,PAYMENT AGGREGATOR CREDIT UTR0000000047,63807.23,0.00,INR,
BANK_PROD_00048,2026-09-04T19:16:00,RZP/SET_PROD_0047/SETTLEMENT,61829.64,0.00,INR,
BANK_PROD_00049,2026-09-01T19:01:00,RAZORPAY SETTLEMENT SET_PROD_0048 UTR0000000049,46723.50,0.00,INR,SET_PROD_0048
BANK_PROD_00050,2026-09-02T18:45:00,RAZORPAY SETTLEMENT SET_PROD_0049 UTR0000000050,75503.43,0.00,INR,SET_PROD_0049
BANK_PROD_00051,2026-09-02T23:39:00,RAZORPAY SETTLEMENT SET_PROD_0050 UTR0000000051,49077.16,0.00,INR,SET_PROD_0050
BANK_PROD_00052,2026-09-03T08:32:00,PAYMENT AGGREGATOR CREDIT UTR0000000052,80983.28,0.00,INR,
BANK_PROD_00053,2026-09-02T22:12:00,RAZORPAY SETTLEMENT SET_PROD_0052 UTR0000000053,33174.70,0.00,INR,SET_PROD_0052
BANK_PROD_00054,2026-09-02T19:27:00,RAZORPAY SETTLEMENT SET_PROD_0053 UTR0000000054,52005.57,0.00,INR,SET_PROD_0053
BANK_PROD_00055,2026-09-03T03:18:00,RAZORPAY SETTLEMENT SET_PROD_0054 UTR0000000055,20611.51,0.00,INR,SET_PROD_0054
BANK_PROD_00056,2026-09-02T15:16:00,RAZORPAY SETTLEMENT SET_PROD_0055 UTR0000000056,61482.02,0.00,INR,SET_PROD_0055
BANK_PROD_00057,2026-09-03T17:37:00,RAZORPAY SETTLEMENT SET_PROD_0056 UTR0000000057,35467.44,0.00,INR,SET_PROD_0056
BANK_PROD_00058,2026-09-04T00:05:00,RAZORPAY SETTLEMENT SET_PROD_0057 UTR0000000058,72797.99,0.00,INR,SET_PROD_0057
BANK_PROD_00059,2026-09-04T05:35:00,RAZORPAY SETTLEMENT SET_PROD_0058 UTR0000000059,34569.19,0.00,INR,SET_PROD_0058
BANK_PROD_00060,2026-09-04T06:33:00,PAYMENT AGGREGATOR CREDIT UTR0000000060,45538.56,0.00,INR,
BANK_PROD_00061,2026-09-03T23:50:00,RAZORPAY SETTLEMENT SET_PROD_0060 UTR0000000061,34018.04,0.00,INR,SET_PROD_0060
BANK_PROD_00062,2026-09-04T00:47:00,RZP/SET_PROD_0061/SETTLEMENT,49908.64,0.00,INR,
BANK_PROD_00063,2026-09-04T02:35:00,RAZORPAY SETTLEMENT SET_PROD_0062 UTR0000000063,88533.04,0.00,INR,SET_PROD_0062
BANK_PROD_00064,2026-09-04T02:05:00,RZP/SET_PROD_0063/SETTLEMENT,29704.15,0.00,INR,
BANK_PROD_00065,2026-09-04T18:13:00,RAZORPAY SETTLEMENT SET_PROD_0064 UTR0000000065,35381.73,0.00,INR,SET_PROD_0064
BANK_PROD_00066,2026-09-04T21:43:00,RAZORPAY SETTLEMENT SET_PROD_0065 UTR0000000066,59611.79,0.00,INR,SET_PROD_0065
BANK_PROD_00067,2026-09-05T04:17:00,RAZORPAY SETTLEMENT SET_PROD_0066 UTR0000000067,28321.67,0.00,INR,SET_PROD_0066
BANK_PROD_00068,2026-09-05T00:33:00,RZP/SET_PROD_0067/SETTLEMENT,38922.16,0.00,INR,
BANK_PROD_00069,2026-09-04T22:27:00,PAYMENT AGGREGATOR CREDIT UTR0000000069,43159.26,0.00,INR,
BANK_PROD_00070,2026-09-04T22:31:00,RZP/SET_PROD_0069/SETTLEMENT,21839.93,0.00,INR,
BANK_PROD_00071,2026-09-10T00:02:00,RAZORPAY SETTLEMENT SET_PROD_0070 UTR0000000071,76078.12,0.00,INR,SET_PROD_0070
BANK_PROD_00072,2026-09-05T02:32:00,PAYMENT AGGREGATOR CREDIT UTR0000000072,47804.16,0.00,INR,
BANK_PROD_00073,2026-09-08T01:21:00,RAZORPAY SETTLEMENT SET_PROD_0073 UTR0000000073,56961.94,0.00,INR,SET_PROD_0073
BANK_PROD_00074,2026-09-07T16:29:00,RZP/SET_PROD_0074/SETTLEMENT,19061.83,0.00,INR,
BANK_PROD_00075,2026-09-07T22:47:00,RAZORPAY SETTLEMENT SET_PROD_0075 UTR0000000075,36127.73,0.00,INR,SET_PROD_0075
BANK_PROD_00076,2026-09-08T07:29:00,RAZORPAY SETTLEMENT SET_PROD_0076 UTR0000000076,61278.20,0.00,INR,SET_PROD_0076
BANK_PROD_00077,2026-09-07T18:36:00,RAZORPAY SETTLEMENT SET_PROD_0077 UTR0000000077,25140.67,0.00,INR,SET_PROD_0077
BANK_PROD_00078,2026-09-08T01:17:00,PAYMENT AGGREGATOR CREDIT UTR0000000078,21842.34,0.00,INR,
BANK_PROD_00079,2026-09-07T23:06:00,RZP/SET_PROD_0080/SETTLEMENT,99316.45,0.00,INR,
BANK_PROD_00080,2026-09-08T04:23:00,RAZORPAY SETTLEMENT SET_PROD_0081 UTR0000000080,51277.80,0.00,INR,SET_PROD_0081
BANK_PROD_00081,2026-09-10T17:19:00,RAZORPAY SETTLEMENT SET_PROD_0082 UTR0000000081,83239.64,0.00,INR,SET_PROD_0082
BANK_PROD_00082,2026-09-08T15:44:00,RAZORPAY SETTLEMENT SET_PROD_0083 UTR0000000082,36857.70,0.00,INR,SET_PROD_0083
BANK_PROD_00083,2026-09-09T00:50:00,RAZORPAY SETTLEMENT SET_PROD_0084 UTR0000000083,28098.02,0.00,INR,SET_PROD_0084
BANK_PROD_00084,2026-09-11T20:04:00,RAZORPAY SETTLEMENT SET_PROD_0085 UTR0000000084,82640.47,0.00,INR,SET_PROD_0085
BANK_PROD_00085,2026-09-08T17:22:00,RAZORPAY SETTLEMENT SET_PROD_0086 UTR0000000085,51248.95,0.00,INR,SET_PROD_0086
BANK_PROD_00086,2026-09-08T15:28:00,RAZORPAY SETTLEMENT SET_PROD_0087 UTR0000000086,52505.34,0.00,INR,SET_PROD_0087
BANK_PROD_00087,2026-09-09T02:26:00,PAYMENT AGGREGATOR CREDIT UTR0000000087,25435.54,0.00,INR,
BANK_PROD_00088,2026-09-08T20:10:00,RAZORPAY SETTLEMENT SET_PROD_0089 UTR0000000088,19510.56,0.00,INR,SET_PROD_0089
BANK_PROD_00089,2026-09-09T03:19:00,RZP/SET_PROD_0090/SETTLEMENT,18721.29,0.00,INR,
BANK_PROD_00090,2026-09-09T08:15:00,RAZORPAY SETTLEMENT SET_PROD_0091 UTR0000000090,70885.93,0.00,INR,SET_PROD_0091
BANK_PROD_00091,2026-09-08T22:12:00,RZP/SET_PROD_0092/SETTLEMENT,76269.33,0.00,INR,
BANK_PROD_00092,2026-09-08T23:13:00,RAZORPAY SETTLEMENT SET_PROD_0093 UTR0000000092,38392.67,0.00,INR,SET_PROD_0093
BANK_PROD_00093,2026-09-09T06:35:00,RAZORPAY SETTLEMENT SET_PROD_0094 UTR0000000093,27054.42,0.00,INR,SET_PROD_0094
BANK_PROD_00094,2026-09-09T07:07:00,RZP/SET_PROD_0095/SETTLEMENT,38538.26,0.00,INR,
BANK_PROD_00095,2026-09-09T01:08:00,RAZORPAY SETTLEMENT SET_PROD_0096 UTR0000000095,17055.34,0.00,INR,SET_PROD_0096
BANK_PROD_00096,2026-09-09T02:36:00,RAZORPAY SETTLEMENT SET_PROD_0097 UTR0000000096,27425.47,0.00,INR,SET_PROD_0097
BANK_PROD_00097,2026-09-12T02:43:00,RAZORPAY SETTLEMENT SET_PROD_0098 UTR0000000097,47199.57,0.00,INR,SET_PROD_0098
BANK_PROD_00098,2026-09-09T06:48:00,RAZORPAY SETTLEMENT SET_PROD_0099 UTR0000000098,35311.52,0.00,INR,SET_PROD_0099
BANK_PROD_00099,2026-09-09T04:22:00,RAZORPAY SETTLEMENT SET_PROD_0100 UTR0000000099,41178.79,0.00,INR,SET_PROD_0100
