payment_id,expected_status,violation_types,primary_violation_types,downstream_violation_types,expected_verified_loss,notes
PAY_PROD_000029,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T16:43:00, due 2026-08-27T16:43:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000030,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T17:06:00, due 2026-08-27T17:06:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000031,VIOLATION,DUPLICATE_REFUND_DEDUCTION;SETTLEMENT_SLA,DUPLICATE_REFUND_DEDUCTION;SETTLEMENT_SLA,,1249.90,"SLA proven from raw records: captured 2026-08-25T17:24:00, due 2026-08-27T17:24:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000032,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T17:42:00, due 2026-08-27T17:42:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000033,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,
PAY_PROD_000034,PASS,,,,0.00,
PAY_PROD_000035,PASS,,,,0.00,
PAY_PROD_000036,PASS,,,,0.00,
PAY_PROD_000037,PASS,,,,0.00,
PAY_PROD_000038,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,11.80,
PAY_PROD_000039,PASS,,,,0.00,
PAY_PROD_000040,PASS,,,,0.00,
PAY_PROD_000041,PASS,,,,0.00,
PAY_PROD_000042,PASS,,,,0.00,
PAY_PROD_000043,PASS,,,,0.00,
PAY_PROD_000044,PASS,,,,0.00,
PAY_PROD_000045,PASS,,,,0.00,
PAY_PROD_000046,PASS,,,,0.00,
PAY_PROD_000047,PASS,,,,0.00,
PAY_PROD_000048,PASS,,,,0.00,
PAY_PROD_000049,PASS,,,,0.00,
PAY_PROD_000050,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T23:03:00, due 2026-08-27T23:03:00, settled 2026-08-28T14:03:00 (1 business days late)."
PAY_PROD_000051,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T23:23:00, due 2026-08-27T23:23:00, settled 2026-08-28T14:03:00 (1 business days late)."
PAY_PROD_000052,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T23:46:00, due 2026-08-27T23:46:00, settled 2026-08-28T14:03:00 (1 business days late)."
PAY_PROD_000053,PASS,,,,0.00,
PAY_PROD_000054,PASS,,,,0.00,
PAY_PROD_000055,PASS,,,,0.00,
PAY_PROD_000056,PASS,,,,0.00,
PAY_PROD_000057,PASS,,,,0.00,
PAY_PROD_000058,PASS,,,,0.00,
PAY_PROD_000059,PASS,,,,0.00,
PAY_PROD_000060,PASS,,,,0.00,
PAY_PROD_000061,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,1.89,
PAY_PROD_000062,PASS,,,,0.00,
PAY_PROD_000063,PASS,,,,0.00,
PAY_PROD_000064,PASS,,,,0.00,
PAY_PROD_000065,VIOLATION,DUPLICATE_REFUND_DEDUCTION,DUPLICATE_REFUND_DEDUCTION,,7999.80,
PAY_PROD_000066,PASS,,,,0.00,
PAY_PROD_000067,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,5.90,
PAY_PROD_000068,PASS,,,,0.00,
PAY_PROD_000069,PASS,,,,0.00,
PAY_PROD_000070,PASS,,,,0.00,
PAY_PROD_000071,PASS,,,,0.00,
PAY_PROD_000072,PASS,,,,0.00,
PAY_PROD_000073,PASS,,,,0.00,
PAY_PROD_000074,PASS,,,,0.00,
PAY_PROD_000075,PASS,,,,0.00,
PAY_PROD_000076,PASS,,,,0.00,
PAY_PROD_000077,PASS,,,,0.00,
PAY_PROD_000078,PASS,,,,0.00,
PAY_PROD_000079,VIOLATION,UNSUPPORTED_FEE,UNSUPPORTED_FEE,,49.00,
PAY_PROD_000080,PASS,,,,0.00,
PAY_PROD_000081,PASS,,,,0.00,
PAY_PROD_000082,VIOLATION,DUPLICATE_CHARGEBACK_FEE,DUPLICATE_CHARGEBACK_FEE,,250.00,
PAY_PROD_000083,PASS,,,,0.00,
PAY_PROD_000084,PASS,,,,0.00,
PAY_PROD_000085,PASS,,,,0.00,
PAY_PROD_000086,PASS,,,,0.00,
PAY_PROD_000087,PASS,,,,0.00,
PAY_PROD_000088,PASS,,,,0.00,
PAY_PROD_000089,PASS,,,,0.00,
PAY_PROD_000090,PASS,,,,0.00,
PAY_PROD_000091,PASS,,,,0.00,
PAY_PROD_000092,VIOLATION,GST_ON_FEE,GST_ON_FEE,,7.75,
PAY_PROD_000093,PASS,,,,0.00,
PAY_PROD_000094,PASS,,,,0.00,
PAY_PROD_000095,PASS,,,,0.00,
PAY_PROD_000096,PASS,,,,0.00,
PAY_PROD_000097,PASS,,,,0.00,
PAY_PROD_000098,PASS,,,,0.00,
PAY_PROD_000099,PASS,,,,0.00,
PAY_PROD_000100,PASS,,,,0.00,
PAY_PROD_000101,PASS,,,,0.00,
PAY_PROD_000102,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,17.70,
PAY_PROD_000103,PASS,,,,0.00,
PAY_PROD_000104,PASS,,,,0.00,
PAY_PROD_000105,PASS,,,,0.00,
PAY_PROD_000106,PASS,,,,0.00,
PAY_PROD_000107,PASS,,,,0.00,
PAY_PROD_000108,PASS,,,,0.00,
PAY_PROD_000109,PASS,,,,0.00,
PAY_PROD_000110,PASS,,,,0.00,
PAY_PROD_000111,PASS,,,,0.00,
PAY_PROD_000112,PASS,,,,0.00,
PAY_PROD_000113,PASS,,,,0.00,
PAY_PROD_000114,PASS,,,,0.00,
PAY_PROD_000115,PASS,,,,0.00,
PAY_PROD_000116,PASS,,,,0.00,
PAY_PROD_000117,PASS,,,,0.00,
PAY_PROD_000118,PASS,,,,0.00,
PAY_PROD_000119,PASS,,,,0.00,
PAY_PROD_000120,PASS,,,,0.00,
PAY_PROD_000121,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T20:29:00, due 2026-08-28T20:29:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000122,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T20:43:00, due 2026-08-28T20:43:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000123,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T20:58:00, due 2026-08-28T20:58:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000124,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T21:12:00, due 2026-08-28T21:12:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000125,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,
PAY_PROD_000126,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T21:48:00, due 2026-08-28T21:48:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000127,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T22:10:00, due 2026-08-28T22:10:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000128,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,3.10,"SLA proven from raw records: captured 2026-08-26T22:28:00, due 2026-08-28T22:28:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000129,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T22:46:00, due 2026-08-28T22:46:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000130,VIOLATION,GST_ON_FEE;MDR_RATE;SETTLEMENT_SLA,MDR_RATE;SETTLEMENT_SLA,GST_ON_FEE,47.20,"SLA proven from raw records: captured 2026-08-26T23:05:00, due 2026-08-28T23:05:00, settled 2026-09-02T14:48:00 (3 business days late)."
PAY_PROD_000131,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T23:28:00, due 2026-08-28T23:28:00, settled 2026-08-31T14:07:00 (1 business days late)."
PAY_PROD_000132,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T23:40:00, due 2026-08-28T23:40:00, settled 2026-08-31T14:07:00 (1 business days late)."
PAY_PROD_000133,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-26T23:59:00, due 2026-08-28T23:59:00, settled 2026-08-31T14:07:00 (1 business days late)."
PAY_PROD_000134,PASS,,,,0.00,
PAY_PROD_000135,PASS,,,,0.00,
PAY_PROD_000136,PASS,,,,0.00,
PAY_PROD_000137,PASS,,,,0.00,
PAY_PROD_000138,VIOLATION,DUPLICATE_CHARGEBACK_FEE,DUPLICATE_CHARGEBACK_FEE,,250.00,
PAY_PROD_000139,PASS,,,,0.00,
PAY_PROD_000140,PASS,,,,0.00,
PAY_PROD_000141,PASS,,,,0.00,
PAY_PROD_000142,PASS,,,,0.00,
PAY_PROD_000143,PASS,,,,0.00,
PAY_PROD_000144,PASS,,,,0.00,
PAY_PROD_000145,PASS,,,,0.00,
PAY_PROD_000146,PASS,,,,0.00,
PAY_PROD_000147,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,29.50,
PAY_PROD_000148,PASS,,,,0.00,
PAY_PROD_000149,PASS,,,,0.00,
PAY_PROD_000150,PASS,,,,0.00,
PAY_PROD_000151,PASS,,,,0.00,
PAY_PROD_000152,PASS,,,,0.00,
PAY_PROD_000153,PASS,,,,0.00,
PAY_PROD_000154,PASS,,,,0.00,
PAY_PROD_000155,PASS,,,,0.00,
PAY_PROD_000156,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,29.50,
PAY_PROD_000157,PASS,,,,0.00,
PAY_PROD_000158,PASS,,,,0.00,
PAY_PROD_000159,PASS,,,,0.00,
PAY_PROD_000160,PASS,,,,0.00,
PAY_PROD_000161,PASS,,,,0.00,
PAY_PROD_000162,PASS,,,,0.00,
PAY_PROD_000163,PASS,,,,0.00,
PAY_PROD_000164,PASS,,,,0.00,
PAY_PROD_000165,PASS,,,,0.00,
PAY_PROD_000166,PASS,,,,0.00,
PAY_PROD_000167,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T10:12:00, due 2026-08-31T10:12:00, settled 2026-09-03T14:45:00 (3 business days late)."
PAY_PROD_000168,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,
PAY_PROD_000169,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T10:50:00, due 2026-08-31T10:50:00, settled 2026-09-03T14:45:00 (3 business days late)."
PAY_PROD_000170,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T11:08:00, due 2026-08-31T11:08:00, settled 2026-09-03T14:45:00 (3 business days late)."
PAY_PROD_000171,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T11:19:00, due 2026-08-31T11:19:00, settled 2026-09-03T14:45:00 (3 business days late)."
PAY_PROD_000172,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T11:44:00, due 2026-08-31T11:44:00, settled 2026-09-03T14:45:00 (3 business days late)."
PAY_PROD_000173,PASS,,,,0.00,
PAY_PROD_000174,PASS,,,,0.00,
PAY_PROD_000175,PASS,,,,0.00,
PAY_PROD_000176,PASS,,,,0.00,
PAY_PROD_000177,PASS,,,,0.00,
PAY_PROD_000178,PASS,,,,0.00,
PAY_PROD_000179,PASS,,,,0.00,
PAY_PROD_000180,PASS,,,,0.00,
PAY_PROD_000181,PASS,,,,0.00,
PAY_PROD_000182,PASS,,,,0.00,
PAY_PROD_000183,PASS,,,,0.00,
PAY_PROD_000184,PASS,,,,0.00,
PAY_PROD_000185,PASS,,,,0.00,
PAY_PROD_000186,PASS,,,,0.00,
PAY_PROD_000187,PASS,,,,0.00,
PAY_PROD_000188,PASS,,,,0.00,
PAY_PROD_000189,PASS,,,,0.00,
PAY_PROD_000190,PASS,,,,0.00,
PAY_PROD_000191,PASS,,,,0.00,
PAY_PROD_000192,PASS,,,,0.00,
PAY_PROD_000193,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T17:56:00, due 2026-08-31T17:56:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000194,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,3.10,"SLA proven from raw records: captured 2026-08-27T18:17:00, due 2026-08-31T18:17:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000195,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T18:38:00, due 2026-08-31T18:38:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000196,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T18:57:00, due 2026-08-31T18:57:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000197,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T19:13:00, due 2026-08-31T19:13:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000198,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T19:25:00, due 2026-08-31T19:25:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000199,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T19:51:00, due 2026-08-31T19:51:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000200,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T20:05:00, due 2026-08-31T20:05:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000201,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T20:25:00, due 2026-08-31T20:25:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000202,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,
PAY_PROD_000203,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T21:03:00, due 2026-08-31T21:03:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000204,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-27T21:19:00, due 2026-08-31T21:19:00, settled 2026-09-03T14:16:00 (3 business days late)."
PAY_PROD_000205,PASS,,,,0.00,
PAY_PROD_000206,VIOLATION,REFUND_EXCEEDS_PAYMENT,REFUND_EXCEEDS_PAYMENT,,100.00,
PAY_PROD_000207,PASS,,,,0.00,
PAY_PROD_000208,PASS,,,,0.00,
PAY_PROD_000209,PASS,,,,0.00,
PAY_PROD_000210,PASS,,,,0.00,
PAY_PROD_000211,VIOLATION,REFUND_EXCEEDS_PAYMENT,REFUND_EXCEEDS_PAYMENT,,100.00,
PAY_PROD_000212,PASS,,,,0.00,
PAY_PROD_000213,PASS,,,,0.00,
PAY_PROD_000214,PASS,,,,0.00,
PAY_PROD_000215,PASS,,,,0.00,
PAY_PROD_000216,PASS,,,,0.00,
PAY_PROD_000217,VIOLATION,DUPLICATE_CHARGEBACK_FEE,DUPLICATE_CHARGEBACK_FEE,,250.00,
PAY_PROD_000218,PASS,,,,0.00,
PAY_PROD_000219,PASS,,,,0.00,
PAY_PROD_000220,PASS,,,,0.00,
PAY_PROD_000221,PASS,,,,0.00,
PAY_PROD_000222,PASS,,,,0.00,
PAY_PROD_000223,PASS,,,,0.00,
PAY_PROD_000224,PASS,,,,0.00,
PAY_PROD_000225,PASS,,,,0.00,
PAY_PROD_000226,PASS,,,,0.00,
PAY_PROD_000227,PASS,,,,0.00,
PAY_PROD_000228,PASS,,,,0.00,
PAY_PROD_000229,PASS,,,,0.00,
PAY_PROD_000230,PASS,,,,0.00,
PAY_PROD_000231,PASS,,,,0.00,
PAY_PROD_000232,PASS,,,,0.00,
PAY_PROD_000233,PASS,,,,0.00,
PAY_PROD_000234,PASS,,,,0.00,
PAY_PROD_000235,PASS,,,,0.00,
PAY_PROD_000236,PASS,,,,0.00,
PAY_PROD_000237,PASS,,,,0.00,
PAY_PROD_000238,PASS,,,,0.00,
PAY_PROD_000239,VIOLATION,REFUND_EXCEEDS_PAYMENT,REFUND_EXCEEDS_PAYMENT,,100.00,
PAY_PROD_000240,PASS,,,,0.00,
PAY_PROD_000241,PASS,,,,0.00,
PAY_PROD_000242,PASS,,,,0.00,
PAY_PROD_000243,PASS,,,,0.00,
PAY_PROD_000244,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,35.40,
PAY_PROD_000245,PASS,,,,0.00,
PAY_PROD_000246,PASS,,,,0.00,
PAY_PROD_000247,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,47.20,
PAY_PROD_000248,PASS,,,,0.00,
PAY_PROD_000249,PASS,,,,0.00,
PAY_PROD_000250,PASS,,,,0.00,
PAY_PROD_000251,PASS,,,,0.00,
PAY_PROD_000252,PASS,,,,0.00,
PAY_PROD_000253,PASS,,,,0.00,
PAY_PROD_000254,PASS,,,,0.00,
PAY_PROD_000255,PASS,,,,0.00,
PAY_PROD_000256,PASS,,,,0.00,
PAY_PROD_000257,PASS,,,,0.00,
PAY_PROD_000258,PASS,,,,0.00,
PAY_PROD_000259,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,47.20,
PAY_PROD_000260,PASS,,,,0.00,
PAY_PROD_000261,PASS,,,,0.00,
PAY_PROD_000262,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,29.50,
PAY_PROD_000263,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,2.36,
PAY_PROD_000264,PASS,,,,0.00,
PAY_PROD_000265,PASS,,,,0.00,
PAY_PROD_000266,PASS,,,,0.00,
PAY_PROD_000267,PASS,,,,0.00,
PAY_PROD_000268,PASS,,,,0.00,
PAY_PROD_000269,PASS,,,,0.00,
PAY_PROD_000270,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T17:00:00, due 2026-09-01T17:00:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000271,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T17:24:00, due 2026-09-01T17:24:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000272,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T17:39:00, due 2026-09-01T17:39:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000273,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T18:02:00, due 2026-09-01T18:02:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000274,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T18:15:00, due 2026-09-01T18:15:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000275,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,
PAY_PROD_000276,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-28T18:55:00, due 2026-09-01T18:55:00, settled 2026-09-04T14:10:00 (3 business days late)."
PAY_PROD_000277,PASS,,,,0.00,
PAY_PROD_000278,PASS,,,,0.00,
PAY_PROD_000279,PASS,,,,0.00,
PAY_PROD_000280,PASS,,,,0.00,
PAY_PROD_000281,PASS,,,,0.00,
PAY_PROD_000282,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,17.70,
PAY_PROD_000283,VIOLATION,GST_ON_FEE,GST_ON_FEE,,1.24,
PAY_PROD_000284,PASS,,,,0.00,
PAY_PROD_000285,PASS,,,,0.00,
PAY_PROD_000286,PASS,,,,0.00,
PAY_PROD_000287,PASS,,,,0.00,
PAY_PROD_000288,PASS,,,,0.00,
PAY_PROD_000289,PASS,,,,0.00,
PAY_PROD_000290,PASS,,,,0.00,
PAY_PROD_000291,PASS,,,,0.00,
PAY_PROD_000292,PASS,,,,0.00,
PAY_PROD_000293,PASS,,,,0.00,
PAY_PROD_000294,PASS,,,,0.00,
PAY_PROD_000295,PASS,,,,0.00,
PAY_PROD_000296,PASS,,,,0.00,
PAY_PROD_000297,PASS,,,,0.00,
PAY_PROD_000298,PASS,,,,0.00,
PAY_PROD_000299,PASS,,,,0.00,
PAY_PROD_000300,PASS,,,,0.00,
PAY_PROD_000301,PASS,,,,0.00,
PAY_PROD_000302,PASS,,,,0.00,
PAY_PROD_000303,PASS,,,,0.00,
PAY_PROD_000304,PASS,,,,0.00,
PAY_PROD_000305,PASS,,,,0.00,
PAY_PROD_000306,PASS,,,,0.00,
PAY_PROD_000307,VIOLATION,DUPLICATE_REFUND_DEDUCTION,DUPLICATE_REFUND_DEDUCTION,,1249.75,
PAY_PROD_000308,VIOLATION,UNSUPPORTED_FEE,UNSUPPORTED_FEE,,49.00,
PAY_PROD_000309,PASS,,,,0.00,
PAY_PROD_000310,PASS,,,,0.00,
PAY_PROD_000311,PASS,,,,0.00,
PAY_PROD_000312,PASS,,,,0.00,
PAY_PROD_000313,PASS,,,,0.00,
PAY_PROD_000314,VIOLATION,GST_ON_FEE;MDR_RATE,MDR_RATE,GST_ON_FEE,1.18,
PAY_PROD_000315,PASS,,,,0.00,
PAY_PROD_000316,PASS,,,,0.00,
PAY_PROD_000317,PASS,,,,0.00,
PAY_PROD_000318,PASS,,,,0.00,
PAY_PROD_000319,PASS,,,,0.00,
PAY_PROD_000320,PASS,,,,0.00,
PAY_PROD_000321,PASS,,,,0.00,
PAY_PROD_000322,PASS,,,,0.00,
PAY_PROD_000323,PASS,,,,0.00,
PAY_PROD_000324,PASS,,,,0.00,
PAY_PROD_000325,PASS,,,,0.00,
PAY_PROD_000326,PASS,,,,0.00,
PAY_PROD_000327,PASS,,,,0.00,
PAY_PROD_000328,PASS,,,,0.00,
