bank_txn_id,posted_at,description,credit,debit,currency,reference
BANK_035,2026-08-26T09:55:00+00:00,RAZORPAY SETTLEMENT SET_035,230352.36,0.00,INR,SET_035
BANK_036,2026-08-26T14:37:00+00:00,RAZORPAY SETTLEMENT SET_036,262380.63,0.00,INR,SET_036
BANK_037,2026-08-26T19:19:00+00:00,RAZORPAY SETTLEMENT SET_037,332675.01,0.00,INR,SET_037
BANK_038,2026-08-27T00:01:00+00:00,RAZORPAY SETTLEMENT SET_038,252445.73,0.00,INR,SET_038
BANK_039,2026-08-27T04:43:00+00:00,RAZORPAY SETTLEMENT SET_039,234568.80,0.00,INR,SET_039
BANK_040,2026-08-27T09:25:00+00:00,RAZORPAY SETTLEMENT SET_040,277068.01,0.00,INR,SET_040
BANK_041,2026-08-27T14:07:00+00:00,RAZORPAY SETTLEMENT SET_041,234896.71,0.00,INR,SET_041
BANK_042,2026-08-27T18:49:00+00:00,RAZORPAY SETTLEMENT SET_042,216582.91,0.00,INR,SET_042
BANK_043,2026-08-27T23:31:00+00:00,RAZORPAY SETTLEMENT SET_043,250470.54,0.00,INR,SET_043
BANK_044,2026-08-28T04:13:00+00:00,RAZORPAY SETTLEMENT SET_044,293159.22,0.00,INR,SET_044
BANK_045,2026-08-28T08:55:00+00:00,RAZORPAY SETTLEMENT SET_045,274957.34,0.00,INR,SET_045
BANK_046,2026-08-28T13:37:00+00:00,RAZORPAY SETTLEMENT SET_046,192814.71,0.00,INR,SET_046
BANK_047,2026-08-28T18:19:00+00:00,RAZORPAY SETTLEMENT SET_047,267580.76,0.00,INR,SET_047
BANK_048,2026-08-28T23:01:00+00:00,RAZORPAY SETTLEMENT SET_048,251080.19,0.00,INR,SET_048
BANK_049,2026-08-31T03:43:00+00:00,RAZORPAY SETTLEMENT SET_049,203342.57,0.00,INR,SET_049
BANK_050,2026-08-31T08:25:00+00:00,RAZORPAY SETTLEMENT SET_050,260076.57,0.00,INR,SET_050
BANK_051,2026-08-31T13:07:00+00:00,RAZORPAY SETTLEMENT SET_051,248193.96,0.00,INR,SET_051
BANK_052,2026-08-31T17:49:00+00:00,RAZORPAY SETTLEMENT SET_052,324547.44,0.00,INR,SET_052
BANK_053,2026-08-31T22:31:00+00:00,RAZORPAY SETTLEMENT SET_053,354002.64,0.00,INR,SET_053
BANK_054,2026-09-01T03:13:00+00:00,RAZORPAY SETTLEMENT SET_054,269454.84,0.00,INR,SET_054
BANK_055,2026-09-01T07:55:00+00:00,RAZORPAY SETTLEMENT SET_055,275630.79,0.00,INR,SET_055
BANK_056,2026-09-01T12:37:00+00:00,RAZORPAY SETTLEMENT SET_056,235567.21,0.00,INR,SET_056
BANK_057,2026-09-01T17:19:00+00:00,RAZORPAY SETTLEMENT SET_057,333051.01,0.00,INR,SET_057
BANK_058,2026-09-01T22:01:00+00:00,RAZORPAY SETTLEMENT SET_058,221543.49,0.00,INR,SET_058
BANK_059,2026-09-01T23:35:00+00:00,RAZORPAY SETTLEMENT SET_059,185263.40,0.00,INR,SET_059
BANK_060,2026-09-01T07:25:00+00:00,RAZORPAY SETTLEMENT SET_060,119984.60,0.00,INR,SET_060
BANK_061,2026-09-01T12:07:00+00:00,RAZORPAY SETTLEMENT SET_061,336734.37,0.00,INR,SET_061
BANK_062,2026-09-01T16:49:00+00:00,RAZORPAY SETTLEMENT SET_062,187179.71,0.00,INR,SET_062
BANK_063,2026-09-01T21:31:00+00:00,RAZORPAY SETTLEMENT SET_063,234283.12,0.00,INR,SET_063
BANK_064,2026-09-01T23:52:00+00:00,RAZORPAY SETTLEMENT SET_064,222218.90,0.00,INR,SET_064
BANK_065,2026-09-01T06:55:00+00:00,RAZORPAY SETTLEMENT SET_065,193067.02,0.00,INR,SET_065
BANK_066,2026-09-01T11:37:00+00:00,RAZORPAY SETTLEMENT SET_066,289323.67,0.00,INR,SET_066
BANK_067,2026-09-01T16:19:00+00:00,RAZORPAY SETTLEMENT SET_067,192549.64,0.00,INR,SET_067
BANK_068,2026-09-01T21:01:00+00:00,RAZORPAY SETTLEMENT SET_068,213576.91,0.00,INR,SET_068
BANK_069,2026-09-02T01:43:00+00:00,RAZORPAY SETTLEMENT SET_069,255156.23,0.00,INR,SET_069
BANK_070,2026-09-02T06:25:00+00:00,RAZORPAY SETTLEMENT SET_070,192197.21,0.00,INR,SET_070
BANK_071,2026-09-02T11:07:00+00:00,RAZORPAY SETTLEMENT SET_071,274314.31,0.00,INR,SET_071
BANK_072,2026-09-02T15:49:00+00:00,RAZORPAY SETTLEMENT SET_072,171675.55,0.00,INR,SET_072
BANK_073,2026-09-02T20:31:00+00:00,RAZORPAY SETTLEMENT SET_073,278050.71,0.00,INR,SET_073
BANK_074,2026-09-03T01:13:00+00:00,RAZORPAY SETTLEMENT SET_074,353991.88,0.00,INR,SET_074
BANK_075,2026-09-03T05:55:00+00:00,RAZORPAY SETTLEMENT SET_075,241436.87,0.00,INR,SET_075
BANK_076,2026-09-03T10:37:00+00:00,RAZORPAY SETTLEMENT SET_076,164140.93,0.00,INR,SET_076
BANK_077,2026-09-03T15:19:00+00:00,RAZORPAY SETTLEMENT SET_077,247649.10,0.00,INR,SET_077
BANK_078,2026-09-03T20:01:00+00:00,RAZORPAY SETTLEMENT SET_078,268940.43,0.00,INR,SET_078
BANK_079,2026-09-04T00:43:00+00:00,RAZORPAY SETTLEMENT SET_079,153239.04,0.00,INR,SET_079
BANK_080,2026-09-04T05:25:00+00:00,RAZORPAY SETTLEMENT SET_080,257403.37,0.00,INR,SET_080
BANK_081,2026-09-04T10:07:00+00:00,RAZORPAY SETTLEMENT SET_081,226912.47,0.00,INR,SET_081
BANK_082,2026-09-04T14:49:00+00:00,RAZORPAY SETTLEMENT SET_082,199408.85,0.00,INR,SET_082
BANK_083,2026-09-04T16:23:00+00:00,RAZORPAY SETTLEMENT SET_083,82347.80,0.00,INR,SET_083
