refund_id,payment_id,amount,created_at,status
REF_CLAUSE_000474,PAY_CLAUSE_000474,499.90,2026-09-05T21:39:00,processed
REF_CLAUSE_000475,PAY_CLAUSE_000475,49.88,2026-08-30T03:47:00,processed
REF_CLAUSE_000476,PAY_CLAUSE_000476,199.95,2026-09-06T06:09:00,processed
REF_CLAUSE_000481,PAY_CLAUSE_000481,4999.60,2026-08-28T17:34:00,processed
REF_CLAUSE_000502,PAY_CLAUSE_000502,624.75,2026-09-07T23:00:00,processed
REF_CLAUSE_000503,PAY_CLAUSE_000503,399.80,2026-08-27T06:57:00,processed
REF_CLAUSE_000507,PAY_CLAUSE_000507,1000.00,2026-08-29T05:14:00,processed
REF_CLAUSE_000510,PAY_CLAUSE_000510,799.60,2026-09-08T06:58:00,processed
REF_CLAUSE_000518,PAY_CLAUSE_000518,1000.00,2026-09-03T03:20:00,processed
REF_CLAUSE_000525,PAY_CLAUSE_000525,399.60,2026-08-30T18:09:00,processed
REF_CLAUSE_000547,PAY_CLAUSE_000547,79.95,2026-08-30T14:17:00,processed
REF_CLAUSE_000548,PAY_CLAUSE_000548,500.00,2026-09-02T22:39:00,processed
REF_CLAUSE_000549,PAY_CLAUSE_000549,59.80,2026-08-30T00:20:00,processed
REF_CLAUSE_000553,PAY_CLAUSE_000553,99.90,2026-08-26T08:20:00,processed
REF_CLAUSE_000571,PAY_CLAUSE_000571,399.50,2026-08-26T05:57:00,processed
REF_CLAUSE_000584,PAY_CLAUSE_000584,199.88,2026-09-05T05:04:00,processed
REF_CLAUSE_000592,PAY_CLAUSE_000592,9999.50,2026-09-08T11:27:00,processed
REF_CLAUSE_000593,PAY_CLAUSE_000593,149.50,2026-08-31T06:53:00,processed
REF_CLAUSE_000595,PAY_CLAUSE_000595,874.88,2026-08-28T07:23:00,processed
REF_CLAUSE_000605,PAY_CLAUSE_000605,1499.80,2026-08-30T19:30:00,processed
REF_CLAUSE_000606,PAY_CLAUSE_000606,99.50,2026-09-08T04:35:00,processed
REF_CLAUSE_000619,PAY_CLAUSE_000619,1999.60,2026-08-29T02:10:00,processed
REF_CLAUSE_000626,PAY_CLAUSE_000626,7499.75,2026-09-03T13:52:00,processed
REF_CLAUSE_000634,PAY_CLAUSE_000634,79.90,2026-09-06T21:27:00,processed
REF_CLAUSE_000650,PAY_CLAUSE_000650,7999.80,2026-09-05T13:44:00,processed
REF_CLAUSE_000678,PAY_CLAUSE_000678,1000.00,2026-09-08T22:57:00,processed
REF_CLAUSE_000684_A,PAY_CLAUSE_000684,8749.65,2026-09-02T18:41:00,processed
REF_CLAUSE_000684_B,PAY_CLAUSE_000684,5624.78,2026-09-03T06:41:00,processed
