payment_id,expected_status,violation_types,primary_violation_types,downstream_violation_types,expected_verified_loss,clause_refs,notes
PAY_CLAUSE_000029,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000030,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000031,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000032,VIOLATION,CHARGEBACK_FEE_OVERCHARGE;SETTLEMENT_SLA,CHARGEBACK_FEE_OVERCHARGE;SETTLEMENT_SLA,,250.00,4.7;6.1;7.4,Chargeback administration fee is INR 500 instead of permitted INR 250. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000033,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000034,PASS,,,,0.00,,
PAY_CLAUSE_000035,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000036,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000037,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000038,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,INR 0.01 rounding/tolerance edge; expected to pass. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000039,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000040,PASS,,,,0.00,,
PAY_CLAUSE_000041,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000042,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000043,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000044,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000045,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000046,PASS,,,,0.00,,
PAY_CLAUSE_000047,VIOLATION,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,,0.00,6.1;6.2,Actual grouped settlement posted after this payment's T+2 due date. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000048,VIOLATION,GST_ON_FEE;SETTLEMENT_BANK_ARITHMETIC,GST_ON_FEE;SETTLEMENT_BANK_ARITHMETIC,,8.25,4.3;6.2,GST calculated at 22% of approved fee instead of 18%. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000049,VIOLATION,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,,0.00,6.1;6.2,Actual grouped settlement posted after this payment's T+2 due date. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000050,VIOLATION,DUPLICATE_REFUND_DEDUCTION;SETTLEMENT_BANK_ARITHMETIC,DUPLICATE_REFUND_DEDUCTION;SETTLEMENT_BANK_ARITHMETIC,,200.00,6.2;7.2,Refund principal deducted twice. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000051,VIOLATION,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,,0.00,6.1;6.2,Actual grouped settlement posted after this payment's T+2 due date. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000052,VIOLATION,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,,0.00,6.1;6.2,Actual grouped settlement posted after this payment's T+2 due date. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000053,VIOLATION,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,SETTLEMENT_BANK_ARITHMETIC;SETTLEMENT_SLA,,0.00,6.1;6.2,Actual grouped settlement posted after this payment's T+2 due date. Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000054,VIOLATION,SETTLEMENT_BANK_ARITHMETIC,SETTLEMENT_BANK_ARITHMETIC,,0.00,6.2,Bank credit differs from expected settlement by INR 10.00.
PAY_CLAUSE_000055,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000056,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000057,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000058,PASS,,,,0.00,,
PAY_CLAUSE_000059,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000060,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000061,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000062,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,9.90,4.3;6.1,GST calculated at 22% of approved fee instead of 18%. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000063,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000064,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000065,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000066,PASS,,,,0.00,,INR 0.01 rounding/tolerance edge; expected to pass.
PAY_CLAUSE_000067,VIOLATION,SETTLEMENT_SLA;UNSUPPORTED_FEE,SETTLEMENT_SLA;UNSUPPORTED_FEE,,49.00,4.6;6.1,Unlisted settlement deduction; contractual expectation is INR 0.00. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000068,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000069,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000070,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000071,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000072,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000073,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000074,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000075,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000076,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000077,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000078,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000079,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000080,PASS,,,,0.00,,
PAY_CLAUSE_000081,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000082,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000083,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000084,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000085,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000086,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000087,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000088,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000089,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000090,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000091,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000092,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000093,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000094,PASS,,,,0.00,,
PAY_CLAUSE_000095,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,0.19,4.3;6.1,GST calculated at 22% of approved fee instead of 18%. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000096,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000097,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000098,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000099,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000100,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000101,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000102,PASS,,,,0.00,,
PAY_CLAUSE_000103,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000104,VIOLATION,GST_ON_FEE;MDR_RATE;SETTLEMENT_SLA,MDR_RATE;SETTLEMENT_SLA,GST_ON_FEE,23.60,4.3;6.1;A1.2,Post-amendment MDR exceeds approved 1.65%; GST downstream. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000105,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000106,PASS,,,,0.00,,
PAY_CLAUSE_000107,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000108,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000109,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000110,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000111,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000112,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000113,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000114,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000115,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000116,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000117,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000118,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000119,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000120,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000121,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000122,VIOLATION,REFUND_EXCEEDS_PAYMENT;SETTLEMENT_SLA,REFUND_EXCEEDS_PAYMENT;SETTLEMENT_SLA,,29.85,6.1;7.3,Cumulative successful refunds exceed captured payment principal. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000123,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000124,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000125,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000126,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000127,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000128,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000129,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000130,VIOLATION,REFUND_EXCEEDS_PAYMENT;SETTLEMENT_SLA,REFUND_EXCEEDS_PAYMENT;SETTLEMENT_SLA,,749.85,6.1;7.3,Cumulative successful refunds exceed captured payment principal. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000131,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000132,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000133,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000134,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000135,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000136,PASS,,,,0.00,,
PAY_CLAUSE_000137,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000138,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000139,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000140,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000141,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000142,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000143,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000144,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000145,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000146,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000147,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000148,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000149,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000150,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000151,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,0.13,4.3;6.1,GST calculated at 22% of approved fee instead of 18%. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000152,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000153,VIOLATION,GST_ON_FEE;MDR_RATE;SETTLEMENT_SLA,MDR_RATE;SETTLEMENT_SLA,GST_ON_FEE,47.20,4.2;4.3;6.1,Pre-amendment MDR overcharge; GST downstream of excessive fee. Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000154,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000155,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000156,PASS,,,,0.00,,
PAY_CLAUSE_000157,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000158,PASS,,,,0.00,,
PAY_CLAUSE_000159,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000160,PASS,,,,0.00,,
PAY_CLAUSE_000161,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000162,PASS,,,,0.00,,
PAY_CLAUSE_000163,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000164,PASS,,,,0.00,,
PAY_CLAUSE_000165,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000166,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000167,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
